Number Plate OCR Evaluation
============================

Total Images Checked: 875
Accuracy: 0.1909

Detailed Classification Report:
                      precision    recall  f1-score   support

                           0.00      0.00      0.00         0
           DD03K2453       0.00      0.00      0.00         1
          DL10CG4693       1.00      1.00      1.00         1
          DL10CH2019       0.00      0.00      0.00         1
          DL10CL4804       0.00      0.00      0.00         1
          DL10CL8288       1.00      1.00      1.00         1
          DL11CK0001       0.00      0.00      0.00         1
          DL12CG6648       1.00      1.00      1.00         1
          DL12CK5377       1.00      1.00      1.00         1
          DL1CAF0461       0.00      0.00      0.00         1
           DL1CZ5821       0.00      0.00      0.00         1
          DL2CAY9702       0.00      0.00      0.00         1
         DL2CAY9702|       0.00      0.00      0.00         0
         DL2CAZ1272|       0.00      0.00      0.00         0
          DL2CAZ6941       1.00      1.00      1.00         1
          DL3CAE2296       0.00      0.00      0.00         1
          DL3CAE4578       0.00      0.00      0.00         1
          DL3CAY2231       1.00      1.00      1.00         1
          DL3CAY9324       0.00      0.00      0.00         1
         DL3CAY9324|       0.00      0.00      0.00         0
          DL3CBE8982       1.00      1.00      1.00         1
          DL3CBM6316       0.00      0.00      0.00         1
          DL3CCCE916       0.00      0.00      0.00         0
          DL3CCN9767       0.00      0.00      0.00         1
          DL3CCT3765       1.00      1.00      1.00         1
          DL3CCU4412       0.00      0.00      0.00         1
         DL3CCU4412}       0.00      0.00      0.00         0
          DL3CCU5010       0.00      0.00      0.00         1
         DL3CCU5010|       0.00      0.00      0.00         0
           DL5CK4795       0.00      0.00      0.00         2
           DL5CU3816       0.00      0.00      0.00         1
          DL6CAB123X       1.00      1.00      1.00         1
           DL6CR6491       0.00      0.00      0.00         1
           DL6CS9118       0.00      0.00      0.00         1
           DL6CS9486       1.00      1.00      1.00         1
          DL7009771)       0.00      0.00      0.00         0
           DL7CJ4515       1.00      1.00      1.00         1
           DL7CJ7592       0.00      0.00      0.00         1
           DL7CQ9771       0.00      0.00      0.00         1
          DL8CAK3382       0.00      0.00      0.00         1
          DL8CAR7828       1.00      1.00      1.00         1
          DL8CBB3906       0.00      0.00      0.00         1
          DL9CA09338       0.00      0.00      0.00         0
          DL9CAQ9338       0.00      0.00      0.00         1
DL9CAQ9338DL2CAZ1272       0.00      0.00      0.00         1
          DL9CAS7798       0.00      0.00      0.00         1
          DL9CAT6251       0.00      0.00      0.00         1
           DL9CS7623       0.00      0.00      0.00         1
           DL9CW1839       0.00      0.00      0.00         1
          DL9CW1839)       0.00      0.00      0.00         0
           DLCAC2922       0.00      0.00      0.00         1
         DLICACZ922|       0.00      0.00      0.00         0
         DLSCAS7798)       0.00      0.00      0.00         0
           DLSCK4795       0.00      0.00      0.00         0
          DLSCK4795,       0.00      0.00      0.00         0
           DREESTTS.       0.00      0.00      0.00         0
            E:15>O53       0.00      0.00      0.00         0
        EINO7BY5200)       0.00      0.00      0.00         0
          EJ14UE7081       0.00      0.00      0.00         1
               ESCHO       0.00      0.00      0.00         0
          FL3CCC6916       0.00      0.00      0.00         1
         FMHO3BS7778       0.00      0.00      0.00         0
           G17T0214.       0.00      0.00      0.00         0
          GJ01HX1989       0.00      0.00      0.00         1
          GJ01HX6515       0.00      0.00      0.00         1
          GJ01MW7581       0.00      0.00      0.00         1
          GJ01WB2816       1.00      1.00      1.00         1
          GJ05JD9759       0.00      0.00      0.00         1
          GJ06MD3977       0.00      0.00      0.00         1
           GJ17TC214       0.00      0.00      0.00         1
           GJ38B5194       0.00      0.00      0.00         1
          GJOTHX1989       0.00      0.00      0.00         0
          GJOTHX6515       0.00      0.00      0.00         0
           H36AJ8917       0.00      0.00      0.00         1
          HH20BY£265       0.00      0.00      0.00         0
          HL3CAE2296       0.00      0.00      0.00         0
           HP12J4688       0.00      0.00      0.00         1
           HP40B5342       0.00      0.00      0.00         1
           HP40B53Z2       0.00      0.00      0.00         0
           HP53B4385       1.00      1.00      1.00         1
           HP63B6147       1.00      1.00      1.00         1
          HR06AG2896       0.00      0.00      0.00         1
          HR12AC0013       1.00      1.00      1.00         1
          HR20AL0220       0.00      0.00      0.00         1
         HR20AL0220'       0.00      0.00      0.00         0
          HR20AT1887       0.00      0.00      0.00         1
        HR26.BR9044]       0.00      0.00      0.00         0
          HR260N1123       0.00      0.00      0.00         0
          HR26BL9742       1.00      0.50      0.67         2
          HR26BR9044       0.00      0.00      0.00         1
          HR26BT4847       0.00      0.00      0.00         1
          HR26BY0675       0.00      0.00      0.00         1
          HR26CC6483       0.00      0.00      0.00         1
          HR26DK6475       1.00      1.00      1.00         1
          HR26DN1123       0.00      0.00      0.00         1
          HR26EL3553       0.00      0.00      0.00         2
         HR26EL3553.       0.00      0.00      0.00         0
          HR26EM1198       1.00      1.00      1.00         1
          HR29AC4708       1.00      1.00      1.00         1
          HR29AE6821       0.00      0.00      0.00         1
         HR29AE6821)       0.00      0.00      0.00         0
          HR2GAX0894       0.00      0.00      0.00         0
           HR35J2160       0.00      0.00      0.00         1
           HR35K8821       1.00      1.00      1.00         1
           HR35P$801       0.00      0.00      0.00         0
           HR35P9801       0.00      0.00      0.00         1
          HR36AJ6093       0.00      0.00      0.00         1
          HR36AJ8917       0.00      0.00      0.00         1
          HR3GAI8917       0.00      0.00      0.00         0
          HR51AS8307       0.00      0.00      0.00         0
          HR51AS8367       0.00      0.00      0.00         1
          HR51AT0502       1.00      1.00      1.00         1
          HR51BG0034       0.00      0.00      0.00         1
          HR51BZ9330       0.00      0.00      0.00         1
         HR51BZ9330)       0.00      0.00      0.00         0
            HR696969       0.00      0.00      0.00         1
           HR75A9345       0.00      0.00      0.00         1
           HROGAGEGG       0.00      0.00      0.00         0
           HRS1BC00E       0.00      0.00      0.00         0
          HRSBAIES17       0.00      0.00      0.00         0
                 IR,       0.00      0.00      0.00         0
         IRYTHCD3799       0.00      0.00      0.00         0
          JH01AK7059       0.00      0.00      0.00         1
          JH01BJ1494       0.00      0.00      0.00         1
          JH05AW0501       0.00      0.00      0.00         1
          JH10BD0294       1.00      1.00      1.00         1
         JHO1AK7059)       0.00      0.00      0.00         0
          JHOIBJ1492       0.00      0.00      0.00         0
          JHOSAWO501       0.00      0.00      0.00         0
          JK02CF6225       0.00      0.00      0.00         1
         JKO2CF6225)       0.00      0.00      0.00         0
               JOTTA       0.00      0.00      0.00         0
          KA09MB2792       1.00      1.00      1.00         1
          KA09MB7621       0.00      0.00      0.00         1
          KA20MA8155       0.00      0.00      0.00         1
           KA21M5519       0.00      0.00      0.00         1
            KA29Z999       0.00      0.00      0.00         1
           KA29Z999:       0.00      0.00      0.00         0
          KA51AA3469       0.00      0.00      0.00         1
         KAOSMB7621)       0.00      0.00      0.00         0
          KL'57E9874       0.00      0.00      0.00         0
           KL01AU585       0.00      0.00      0.00         1
          KL01KLKL01       0.00      0.00      0.00         1
          KL04AQ8793       0.00      0.00      0.00         1
          KL05AK3300       0.00      0.00      0.00         1
           KL06H5834       0.00      0.00      0.00         1
          KL07BF5000       0.00      0.00      0.00         1
          KL07BZ7434       0.00      0.00      0.00         0
           KL16H0870       1.00      1.00      1.00         1
           KL16J3636       1.00      1.00      1.00         1
           KL25B2001       1.00      1.00      1.00         1
           KL26D4147       0.00      0.00      0.00         1
            KL31D777       0.00      0.00      0.00         1
           KL55R2473       1.00      1.00      1.00         1
           KL57E9874       0.00      0.00      0.00         1
        KLO4A087393'       0.00      0.00      0.00         0
         KLO5AK3300,       0.00      0.00      0.00         0
             LSSESS)       0.00      0.00      0.00         0
          MEESCKSE7E       0.00      0.00      0.00         0
           MH02AJ344       0.00      0.00      0.00         1
          MH02BK9793       0.00      0.00      0.00         1
          MH02BM5048       0.00      0.00      0.00         1
          MH03BS7778       0.00      0.00      0.00         1
          MH04DW8351       0.00      0.00      0.00         1
          MH04EE2299       0.00      0.00      0.00         1
          MH06AW8929       0.00      0.00      0.00         1
          MH12DE1433       0.00      0.00      0.00         1
          MH14BK7310       0.00      0.00      0.00         2
          MH14EH7958       0.00      0.00      0.00         1
          MH14GY0845       1.00      1.00      1.00         1
         MH14TCE460,       0.00      0.00      0.00         0
          MH14TCF460       0.00      0.00      0.00         1
          MH15BD8877       1.00      1.00      1.00         1
           MH15TC554       1.00      1.00      1.00         1
          MH20BY4465       0.00      0.00      0.00         1
           MH20CS1%1       0.00      0.00      0.00         0
          MH20CS1941       0.00      0.00      0.00         1
          MH20EE7598       0.00      0.00      0.00         1
         MH20EE7598|       0.00      0.00      0.00         0
          MH20EE7601       1.00      1.00      1.00         1
          MH20TC640B       0.00      0.00      0.00         1
          MH29AR2571       1.00      1.00      1.00         1
           MH46Z8892       0.00      0.00      0.00         1
          MHO2BM5048       0.00      0.00      0.00         0
          MHO4DW8351       0.00      0.00      0.00         0
                 MHS       0.00      0.00      0.00         0
        MMPPO7CF2374       0.00      0.00      0.00         0
          MP04CT7668       1.00      1.00      1.00         1
          MP07CF2374       0.00      0.00      0.00         1
          MP09CE0272       0.00      0.00      0.00         1
          MP09CJ7770       1.00      0.50      0.67         2
          MP20FA4229       1.00      1.00      1.00         1
           MP67C3014       1.00      1.00      1.00         1
         MPO09CE0272       0.00      0.00      0.00         0
          MPO9CJ7770       0.00      0.00      0.00         0
           N06AW8929       0.00      0.00      0.00         0
                 NES       0.00      0.00      0.00         0
          OD02AT8301       0.00      0.00      0.00         1
                  OE       0.00      0.00      0.00         0
          OLICAFO461       0.00      0.00      0.00         0
                  OU       0.00      0.00      0.00         0
          P145CS4737       0.00      0.00      0.00         0
          P172CA4092       0.00      0.00      0.00         0
          P1A5CM2647       0.00      0.00      0.00         0
             PACEEES       0.00      0.00      0.00         0
                 PAI       0.00      0.00      0.00         0
          PB02CS3246       0.00      0.00      0.00         1
       PB03AG[T]8979       0.00      0.00      0.00         1
          PB08BT9874       0.00      0.00      0.00         1
          PB08FB6596       0.00      0.00      0.00         1
          PIECEE3306       0.00      0.00      0.00         0
          PIN40C5959       0.00      0.00      0.00         0
         PJ14UCE714)       0.00      0.00      0.00         0
          PJA5CE6928       0.00      0.00      0.00         0
          PLICZ5821)       0.00      0.00      0.00         0
           PP03K2453       0.00      0.00      0.00         0
          PSIACVOZOY       0.00      0.00      0.00         0
          QJLLCA2231       0.00      0.00      0.00         0
          R114CC6396       0.00      0.00      0.00         0
          R144CM2566       0.00      0.00      0.00         0
           R14CG3958       0.00      0.00      0.00         0
        R3J1ZCL5038|       0.00      0.00      0.00         0
           R44108239       0.00      0.00      0.00         0
              RABCUS       0.00      0.00      0.00         0
          RASCU3O90!       0.00      0.00      0.00         0
          RB{1417995       0.00      0.00      0.00         0
                REPS       0.00      0.00      0.00         0
              RES1OI       0.00      0.00      0.00         0
                RG7Q       0.00      0.00      0.00         0
          RI14CV0301       0.00      0.00      0.00         0
          RI14UG9174       0.00      0.00      0.00         0
         RI1AUD1659!       0.00      0.00      0.00         0
         RI1AUD1659)       0.00      0.00      0.00         0
          RI23CC3290       0.00      0.00      0.00         0
         RI3ECA7O29)       0.00      0.00      0.00         0
         RI45CF9239}       0.00      0.00      0.00         0
             RIACTOS       0.00      0.00      0.00         0
           RIACY682°       0.00      0.00      0.00         0
           RIALCALS?       0.00      0.00      0.00         0
          RIASCPOSAG       0.00      0.00      0.00         0
          RIASCT1885       0.00      0.00      0.00         0
          RIDCE4878)       0.00      0.00      0.00         0
          RIGSCE6BL8       0.00      0.00      0.00         0
          RIIACLAESE       0.00      0.00      0.00         0
          RIISUATIB9       0.00      0.00      0.00         0
         RIJ1AUEZ634       0.00      0.00      0.00         0
        RIJG4IUAZ827       0.00      0.00      0.00         0
        RIJIOTA.0994       0.00      0.00      0.00         0
       RIJLSCN2Z37II       0.00      0.00      0.00         0
          RIL5CU232/       0.00      0.00      0.00         0
          RILACK9QR4       0.00      0.00      0.00         0
          RINLCE1923       0.00      0.00      0.00         0
          RIOTCCTSO7       0.00      0.00      0.00         0
          RITACREG5O       0.00      0.00      0.00         0
          RITACT4301       0.00      0.00      0.00         0
          RITACX6658       0.00      0.00      0.00         0
          RITANC5499       0.00      0.00      0.00         0
          RITAWC9541       0.00      0.00      0.00         0
          RITAYC1396       0.00      0.00      0.00         0
         RITBCES772]       0.00      0.00      0.00         0
          RITZTDOOSO       0.00      0.00      0.00         0
           RIUK3TSLK       0.00      0.00      0.00         0
          RIVACCOS7S       0.00      0.00      0.00         0
          RI{ACW1676       0.00      0.00      0.00         0
         RJ'02CC4642       0.00      0.00      0.00         0
         RJ01C0B9722       0.00      0.00      0.00         0
          RJ01CB7236       0.00      0.00      0.00         1
          RJ01CB9722       0.00      0.00      0.00         1
          RJ01CC1507       0.00      0.00      0.00         1
          RJ01CC7603       0.00      0.00      0.00         1
          RJ01CC8226       1.00      1.00      1.00         1
          RJ01CD3307       0.00      0.00      0.00         1
          RJ01CE1288       0.00      0.00      0.00         1
          RJ01UA1712       0.00      0.00      0.00         1
          RJ01UB0515       0.00      0.00      0.00         1
          RJ02CB5825       1.00      1.00      1.00         1
          RJ02CB9902       0.00      0.00      0.00         1
          RJ02CC3703       0.00      0.00      0.00         1
          RJ02CC4642       0.00      0.00      0.00         1
          RJ02CC6621       1.00      1.00      1.00         1
          RJ02CC9572       0.00      0.00      0.00         1
          RJ02CF1365       0.00      0.00      0.00         1
          RJ02TA1932       0.00      0.00      0.00         1
          RJ03CA0112       0.00      0.00      0.00         1
          RJ03CA8807       0.00      0.00      0.00         1
          RJ03CB0994       0.00      0.00      0.00         1
          RJ04CA7197       0.00      0.00      0.00         1
          RJ05CC0003       0.00      0.00      0.00         1
          RJ06CC2305       0.00      0.00      0.00         1
          RJ06UA9743       0.00      0.00      0.00         1
          RJ07CA5369       0.00      0.00      0.00         1
          RJ07CB6719       0.00      0.00      0.00         1
          RJ07CD4085       0.00      0.00      0.00         1
          RJ07CD5141       0.00      0.00      0.00         1
          RJ07UC4983       0.00      0.00      0.00         1
          RJ08CA6767       0.00      0.00      0.00         1
          RJ10CA5546       0.00      0.00      0.00         1
         RJ10CA5546)       0.00      0.00      0.00         0
           RJ1300596       0.00      0.00      0.00         0
          RJ13CA3418       0.00      0.00      0.00         1
          RJ13CB4332       0.00      0.00      0.00         0
          RJ13CB4334       0.00      0.00      0.00         1
          RJ13CB6214       1.00      1.00      1.00         1
        RJ14.7C4090,       0.00      0.00      0.00         0
         RJ14.ZC6586       0.00      0.00      0.00         0
          RJ14002077       0.00      0.00      0.00         0
          RJ14002418       0.00      0.00      0.00         0
         RJ14003984)       0.00      0.00      0.00         0
          RJ14005325       0.00      0.00      0.00         0
          RJ14067712       0.00      0.00      0.00         0
          RJ140C2466       0.00      0.00      0.00         0
         RJ140C5546)       0.00      0.00      0.00         0
          RJ140C797]       0.00      0.00      0.00         0
         RJ140J50773       0.00      0.00      0.00         0
         RJ140V19142       0.00      0.00      0.00         0
          RJ140€8393       0.00      0.00      0.00         0
          RJ141D570/       0.00      0.00      0.00         0
          RJ143C4708       0.00      0.00      0.00         1
         RJ144C7430)       0.00      0.00      0.00         0
          RJ144C8821       0.00      0.00      0.00         0
         RJ147B9315)       0.00      0.00      0.00         0
          RJ147B9803       0.00      0.00      0.00         0
          RJ147C0010       1.00      1.00      1.00         1
          RJ147C4090       0.00      0.00      0.00         1
          RJ147C7459       0.00      0.00      0.00         1
          RJ147C8807       0.00      0.00      0.00         0
          RJ147C9725       0.00      0.00      0.00         1
         RJ147C9725)       0.00      0.00      0.00         0
          RJ147E0155       0.00      0.00      0.00         0
        RJ147T07268)       0.00      0.00      0.00         0
        RJ14:CA*4739       0.00      0.00      0.00         0
        RJ14:TA:6551       0.00      0.00      0.00         0
          RJ14AC0877       0.00      0.00      0.00         1
          RJ14AC3436       0.00      0.00      0.00         1
          RJ14AC3937       0.00      0.00      0.00         1
          RJ14AC5894       1.00      1.00      1.00         1
          RJ14AC7430       0.00      0.00      0.00         1
          RJ14AC7435       0.00      0.00      0.00         1
          RJ14C03372       0.00      0.00      0.00         0
        RJ14C0H6264)       0.00      0.00      0.00         0
         RJ14C0N1742       0.00      0.00      0.00         0
          RJ14C12837       0.00      0.00      0.00         0
          RJ14C21008       0.00      0.00      0.00         0
         RJ14C28986,       0.00      0.00      0.00         0
          RJ14C63680       0.00      0.00      0.00         0
          RJ14C64816       0.00      0.00      0.00         0
          RJ14CA4739       0.00      0.00      0.00         1
          RJ14CA7406       0.00      0.00      0.00         1
          RJ14CA9656       1.00      1.00      1.00         1
          RJ14CA9687       0.00      0.00      0.00         1
          RJ14CB0709       0.00      0.00      0.00         1
          RJ14CB1385       0.00      0.00      0.00         1
          RJ14CB516)       0.00      0.00      0.00         0
          RJ14CB5169       0.00      0.00      0.00         1
          RJ14CB6100       0.00      0.00      0.00         1
          RJ14CC0979       0.00      0.00      0.00         1
          RJ14CC8393       0.00      0.00      0.00         1
          RJ14CD7879       1.00      1.00      1.00         1
          RJ14CE1733       0.00      0.00      0.00         1
         RJ14CE1733)       0.00      0.00      0.00         0
          RJ14CE3763       0.00      0.00      0.00         1
          RJ14CE4878       0.00      0.00      0.00         1
          RJ14CE8303       0.00      0.00      0.00         1
          RJ14CE8805       0.00      0.00      0.00         1
          RJ14CE9566       1.00      1.00      1.00         1
          RJ14CF7683       0.00      0.00      0.00         1
          RJ14CG1753       0.00      0.00      0.00         1
          RJ14CG3680       0.00      0.00      0.00         1
          RJ14CG3958       0.00      0.00      0.00         1
          RJ14CG4303       0.00      0.00      0.00         1
          RJ14CG4816       0.00      0.00      0.00         1
          RJ14CG6581       0.00      0.00      0.00         1
          RJ14CG7712       0.00      0.00      0.00         1
          RJ14CG7995       0.00      0.00      0.00         1
          RJ14CH2442       0.00      0.00      0.00         1
          RJ14CH5905       0.00      0.00      0.00         1
          RJ14CH6264       0.00      0.00      0.00         1
          RJ14CH7630       0.00      0.00      0.00         1
         RJ14CH7630)       0.00      0.00      0.00         0
          RJ14CH8599       1.00      1.00      1.00         1
          RJ14CJ0098       0.00      0.00      0.00         0
          RJ14CJ0773       0.00      0.00      0.00         1
          RJ14CJ2806       1.00      1.00      1.00         1
          RJ14CJ4269       0.00      0.00      0.00         1
          RJ14CJ5999       0.00      0.00      0.00         1
          RJ14CJ8101       1.00      1.00      1.00         1
          RJ14CK0008       1.00      1.00      1.00         1
          RJ14CK0216       1.00      1.00      1.00         1
          RJ14CK1537       0.00      0.00      0.00         1
          RJ14CK5851       0.00      0.00      0.00         1
          RJ14CK5854       0.00      0.00      0.00         0
          RJ14CK7225       0.00      0.00      0.00         1
          RJ14CL0535       1.00      1.00      1.00         1
          RJ14CL1162       0.00      0.00      0.00         1
          RJ14CL4005       1.00      1.00      1.00         1
          RJ14CL4698       0.00      0.00      0.00         1
          RJ14CL5038       0.00      0.00      0.00         1
          RJ14CL5486       0.00      0.00      0.00         1
          RJ14CL7109       1.00      1.00      1.00         1
          RJ14CL7291       0.00      0.00      0.00         1
          RJ14CL8997       0.00      0.00      0.00         1
          RJ14CM0432       0.00      0.00      0.00         1
          RJ14CM1812       0.00      0.00      0.00         1
          RJ14CM2185       0.00      0.00      0.00         1
          RJ14CM2566       0.00      0.00      0.00         2
          RJ14CM5701       1.00      1.00      1.00         1
          RJ14CM6318       0.00      0.00      0.00         1
          RJ14CN1514       0.00      0.00      0.00         1
          RJ14CN1742       0.00      0.00      0.00         1
          RJ14CN2137       1.00      1.00      1.00         1
          RJ14CN3290       0.00      0.00      0.00         1
          RJ14CN6419       0.00      0.00      0.00         0
          RJ14CN9474       0.00      0.00      0.00         1
          RJ14CN9542       1.00      1.00      1.00         1
          RJ14CN9Z74       0.00      0.00      0.00         0
          RJ14CP1025       0.00      0.00      0.00         1
          RJ14CP2973       1.00      1.00      1.00         1
          RJ14CP3701       0.00      0.00      0.00         1
          RJ14CP6297       0.00      0.00      0.00         0
          RJ14CP6305       0.00      0.00      0.00         1
          RJ14CP6309       0.00      0.00      0.00         0
         RJ14CP81398       0.00      0.00      0.00         0
          RJ14CP8198       0.00      0.00      0.00         1
          RJ14CQ0560       0.00      0.00      0.00         1
          RJ14CQ0565       0.00      0.00      0.00         1
          RJ14CQ2418       0.00      0.00      0.00         1
          RJ14CQ2563       0.00      0.00      0.00         1
          RJ14CQ3299       0.00      0.00      0.00         1
          RJ14CQ3372       0.00      0.00      0.00         1
          RJ14CQ3553       0.00      0.00      0.00         1
          RJ14CQ4852       0.00      0.00      0.00         1
          RJ14CQ6834       0.00      0.00      0.00         1
          RJ14CR4952       1.00      1.00      1.00         1
          RJ14CR5019       1.00      1.00      1.00         1
          RJ14CR8650       0.00      0.00      0.00         1
          RJ14CT0511       0.00      0.00      0.00         1
          RJ14CT1008       1.00      1.00      1.00         1
          RJ14CT3041       0.00      0.00      0.00         1
          RJ14CT4026       1.00      1.00      1.00         1
          RJ14CT4301       0.00      0.00      0.00         1
          RJ14CT4486       0.00      0.00      0.00         1
          RJ14CT6066       0.00      0.00      0.00         1
          RJ14CT6932       0.00      0.00      0.00         1
          RJ14CT7262       0.00      0.00      0.00         1
          RJ14CT7375       0.00      0.00      0.00         1
          RJ14CT7895       0.00      0.00      0.00         1
          RJ14CT8400       1.00      1.00      1.00         1
          RJ14CT9149       0.00      0.00      0.00         1
          RJ14CU4226       0.00      0.00      0.00         1
          RJ14CU5325       0.00      0.00      0.00         1
          RJ14CU5539       0.00      0.00      0.00         1
          RJ14CU5690       0.00      0.00      0.00         1
          RJ14CU8301       0.00      0.00      0.00         0
          RJ14CU9301       0.00      0.00      0.00         1
          RJ14CV1286       0.00      0.00      0.00         1
          RJ14CV1585       0.00      0.00      0.00         1
          RJ14CV1914       0.00      0.00      0.00         1
          RJ14CV2530       0.00      0.00      0.00         1
          RJ14CV3353       0.00      0.00      0.00         0
          RJ14CV4657       0.00      0.00      0.00         1
          RJ14CV6203       0.00      0.00      0.00         1
          RJ14CV6797       0.00      0.00      0.00         1
          RJ14CV6829       0.00      0.00      0.00         1
          RJ14CV6896       1.00      1.00      1.00         1
          RJ14CV8966       0.00      0.00      0.00         1
         RJ14CV8966)       0.00      0.00      0.00         0
          RJ14CV9747       0.00      0.00      0.00         1
          RJ14CW1676       0.00      0.00      0.00         1
          RJ14CW2590       0.00      0.00      0.00         1
          RJ14CW7295       0.00      0.00      0.00         1
          RJ14CW7787       0.00      0.00      0.00         1
          RJ14CW9269       0.00      0.00      0.00         1
          RJ14CX1444       0.00      0.00      0.00         1
          RJ14CX2222       0.00      0.00      0.00         1
          RJ14CX2496       0.00      0.00      0.00         1
          RJ14CX3188       0.00      0.00      0.00         1
          RJ14CX3214       0.00      0.00      0.00         1
          RJ14CX6658       0.00      0.00      0.00         1
          RJ14CX6736       0.00      0.00      0.00         1
          RJ14CX6821       0.00      0.00      0.00         1
          RJ14CX7310       0.00      0.00      0.00         1
